"","ARHGAP5","BCOR","BMPR2","CACNA1D","CASP8","CIC","CIITA","CTNNB1","ERBB4","FAT4","FBN2","FGFR1","JAK1","MTOR","MYH11","NBEA","PIK3CA","PTPRB","PTPRK","RPL22","STAT6","TCF7L2"
"TCGA-G4-6310-01A-11D-1719-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"TCGA-A6-2671-01A-01D-1408-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3952-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-D5-6532-01A-11D-1719-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"TCGA-DM-A1D9-01A-11D-A152-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-DM-A28K-01A-21D-A16V-10",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"TCGA-A6-3808-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3818-01A-01W-0900-09",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-A02J-01A-01W-A00E-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CM-5349-01A-21D-1719-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"TCGA-DM-A0XD-01A-12D-A152-10",1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"TCGA-DM-A1DB-01A-11D-A152-10",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"TCGA-AA-3941-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AZ-6603-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-CM-6166-01A-11D-1650-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-D5-5538-01A-01D-1650-10",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-D5-6922-01A-11D-1924-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"TCGA-DM-A1HA-01A-11D-A152-10",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-F4-6569-01A-11D-1771-10",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"TCGA-F4-6854-01A-11D-1924-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"TCGA-AA-A00R-01A-01W-A005-10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TCGA-AU-3779-01A-01D-1719-10",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
"TCGA-CK-5914-01A-11D-1650-10",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"TCGA-CM-4747-01A-01D-1408-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-DM-A1DA-01A-11D-A152-10",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-DM-A28H-01A-11D-A16V-10",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"TCGA-A6-5657-01A-01D-1650-10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"TCGA-AA-3521-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CM-4752-01A-01D-1408-10",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"TCGA-CM-4746-01A-01D-1408-10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"TCGA-CM-6170-01A-11D-1650-10",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TCGA-AA-3529-01A-02W-0831-10",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A02K-01A-21W-A096-10",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TCGA-AZ-4682-01B-01D-1408-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-CM-6172-01A-11D-1650-10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-A6-6651-01A-21D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3955-01A-02W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TCGA-A6-6654-01A-21D-1835-10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3664-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A00O-01A-02W-A00E-09",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CA-6719-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-CM-6163-01A-11D-1650-10",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-A01D-01A-01W-A00E-09",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-5656-01A-21D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3534-01A-01W-0831-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3543-01A-01W-0833-10",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"TCGA-D5-6537-01A-11D-1719-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3518-01A-02W-0833-10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TCGA-AA-3544-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3875-01A-01W-0900-09",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CA-5797-01A-01D-1650-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-CK-6747-01A-11D-1835-10",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-CM-5862-01A-01D-1650-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-D5-5539-01A-01D-1650-10",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-DM-A285-01A-11D-A16V-10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3939-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-A6-2677-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3968-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-5662-01A-01D-1650-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AZ-5407-01A-01D-1719-10",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-CA-6715-01A-21D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-D5-6931-01A-11D-1924-10",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-A00K-01A-02W-A005-10",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"TCGA-AA-A01I-01A-02W-A00E-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"TCGA-AA-3848-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-CM-5868-01A-01D-1650-10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A01P-01A-21W-A096-10",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"TCGA-AZ-4323-01A-21D-1835-10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AD-6965-01A-11D-1924-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3869-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-6138-01A-11D-1771-10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3522-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CK-5915-01A-11D-1650-10",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"TCGA-AY-4070-01A-01W-1073-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TCGA-AA-3514-01A-02W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AY-5543-01A-01D-1650-10",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"TCGA-AA-A03J-01A-21W-A096-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"TCGA-AA-3986-01A-02W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-D5-6929-01A-31D-1924-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AD-6901-01A-11D-1924-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"TCGA-CM-5863-01A-21D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-D5-6539-01A-11D-1719-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-D5-7000-01A-11D-1924-10",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"TCGA-G4-6321-01A-11D-1719-10",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A00W-01A-01W-A005-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3517-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3526-01A-02W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-3807-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-DM-A1D8-01A-11D-A152-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"TCGA-AA-3558-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3860-01A-02W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-F4-6460-01A-11D-1771-10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"TCGA-G4-6323-01A-11D-1719-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"TCGA-AA-3930-01A-01W-0995-10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A024-01A-02W-A00E-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-6782-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-CK-4948-01B-11D-1650-10",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"TCGA-AA-3856-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CM-6169-01A-11D-1650-10",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3956-01A-02W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"TCGA-AA-A02W-01A-01W-A00E-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3681-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-5664-01A-21D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3866-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-A00F-01A-01W-A005-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CM-6168-01A-11D-1650-10",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3519-01A-02W-0831-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3975-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-6648-01A-11D-1771-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-D5-6898-01A-11D-1924-10",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"TCGA-G4-6625-01A-21D-1771-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-AA-3531-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A01S-01A-21W-A096-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-2674-01A-02W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3979-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-F4-6704-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3994-01A-01W-1073-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TCGA-DM-A28C-01A-11D-A16V-10",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AD-6963-01A-11D-1924-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3692-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A01F-01A-01W-A005-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3520-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A02F-01A-01W-A00E-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3980-01A-02W-0995-10",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"TCGA-AZ-4681-01A-01D-1408-10",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3812-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-CM-6680-01A-11D-1835-10",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"TCGA-DM-A282-01A-12D-A16V-10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"TCGA-AA-3673-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"TCGA-CM-6675-01A-11D-1835-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3971-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TCGA-AA-3973-01A-01W-0995-10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-F4-6855-01A-11D-1924-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"TCGA-AA-3562-01A-02W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TCGA-AA-A017-01A-01W-A00E-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TCGA-D5-6920-01A-11D-1924-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3678-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-6142-01A-11D-1771-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-A00Z-01A-01W-A005-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CM-6678-01A-11D-1835-10",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"TCGA-D5-6538-01A-11D-1719-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-D5-6924-01A-11D-1924-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CM-5341-01A-01D-1408-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-2678-01A-01W-0831-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3679-01A-02W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A01T-01A-21W-A096-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TCGA-AA-3548-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3989-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A00Q-01A-01W-A005-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3553-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3972-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3685-01A-02W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CA-5255-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3814-01A-01W-0900-09",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3976-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-3810-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-F4-6805-01A-11D-1835-10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3532-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3549-01A-02W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3560-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3561-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3538-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A00L-01A-01W-A005-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3552-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3858-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A00D-01A-01W-A005-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3842-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AG-A002-01A-01W-A00K-09",1,0,1,1,0,NA,1,0,1,1,1,1,1,1,1,1,0,1,0,NA,NA,1
"TCGA-AG-3601-01A-01W-0833-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-AG-A014-01A-02W-A00K-09",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-AG-A011-01A-01W-A00K-09",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-CI-6624-01C-11D-1826-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0
"TCGA-DC-6158-01A-11D-1657-10",0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,NA,0
"TCGA-DC-6683-01A-11D-1826-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1
"TCGA-AF-2687-01A-02D-1733-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0
"TCGA-AG-3892-01A-01W-1073-09",1,1,0,0,0,NA,0,1,0,1,0,0,0,1,1,1,1,0,0,NA,NA,0
"TCGA-AG-A01W-01A-21W-A096-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-AG-A02N-01A-11W-A096-10",0,0,0,1,0,NA,0,0,1,0,1,1,1,0,0,0,1,0,1,NA,NA,0
"TCGA-DC-5337-01A-01D-1657-10",0,0,0,0,0,NA,0,1,0,1,0,0,0,0,0,1,0,0,0,NA,NA,0
"TCGA-DY-A1DC-01A-31D-A152-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,0
"TCGA-AG-3882-01A-01W-0899-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1
"TCGA-CI-6620-01A-11D-1826-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0
"TCGA-F5-6813-01A-11D-1826-10",0,0,0,0,0,NA,0,1,0,0,0,0,0,0,1,0,1,0,0,NA,NA,0
"TCGA-DC-6681-01A-11D-1826-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-AG-3731-01A-11D-1733-10",0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,0
"TCGA-AG-3902-01A-01W-1073-09",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-AH-6643-01A-11D-1826-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0
"TCGA-DY-A1DD-01A-21D-A152-10",0,0,0,0,0,NA,0,0,0,1,1,0,0,0,0,0,1,0,0,NA,NA,0
"TCGA-AG-3599-01A-02W-0833-10",0,0,0,0,0,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-CL-5917-01A-11D-1657-10",0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0
"TCGA-EF-5830-01A-01D-1657-10",0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,NA,0
"TCGA-AF-2693-01A-02D-1733-10",0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0
"TCGA-AG-3727-01A-01W-0899-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-AG-A00C-01A-01W-A005-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-EI-6510-01A-11D-1733-10",0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,1,0,0,NA,NA,0
"TCGA-AG-3909-01A-01W-1073-09",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-AG-3999-01A-01W-1073-09",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-F5-6464-01A-11D-1733-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,0
"TCGA-G5-6235-01A-11D-1733-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0
"TCGA-AF-3913-01A-02W-1073-09",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-AH-6644-01A-21D-1826-10",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0
"TCGA-DY-A0XA-01A-11D-A152-10",0,0,0,0,0,NA,0,1,0,0,0,1,0,0,0,0,1,0,0,NA,NA,0
"TCGA-DY-A1DF-01A-11D-A152-10",0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TCGA-DY-A1DG-01A-11D-A152-10",1,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,1,0,0,NA,NA,1
