"","ARHGAP5","BCOR","BMPR2","CACNA1D","CASP8","CIC","CIITA","CTNNB1","ERBB4","FAT4","FBN2","FGFR1","JAK1","MTOR","MYH11","NBEA","PIK3CA","PTPRB","PTPRK","RPL22","STAT6","TCF7L2"
"TCGA-CK-5913-01A-11D-1650-10",1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"TCGA-D5-5537-01A-21D-1924-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-D5-6534-01A-21D-1924-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-D5-6927-01A-21D-1924-10",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"TCGA-D5-6930-01A-11D-1924-10",1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"TCGA-G4-6299-01A-11D-1771-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-G4-6306-01A-11D-1771-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-A6-5661-01A-01D-1650-10",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3489-01A-21D-1835-10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3511-01A-21D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3815-01A-01W-0995-10",0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
"TCGA-AA-3831-01A-01W-0900-09",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3845-01A-01W-0995-10",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"TCGA-AA-3982-01A-02W-0995-10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A01K-01A-01W-A00E-09",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AY-6197-01A-11D-1719-10",0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
"TCGA-AZ-6598-01A-11D-1771-10",0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
"TCGA-CM-5861-01A-01D-1650-10",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"TCGA-CM-6171-01A-11D-1650-10",0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1
"TCGA-D5-6923-01A-11D-1924-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-DM-A0X9-01A-11D-A152-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-DM-A1HB-01A-21D-A183-10",1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0
"TCGA-F4-6570-01A-11D-1771-10",1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
"TCGA-F4-6856-01A-11D-1924-10",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"TCGA-G4-6304-01A-11D-1924-10",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"TCGA-AA-3667-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3684-01A-02W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TCGA-AA-3821-01A-01W-0995-10",1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
"TCGA-AD-6888-01A-11D-1924-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3715-01A-01W-0900-09",0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0
"TCGA-AD-5900-01A-11D-1650-10",0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0
"TCGA-AA-A01Q-01A-01W-A005-10",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AZ-6599-01A-11D-1771-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-D5-6928-01A-11D-1924-10",0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
"TCGA-AA-3867-01A-01W-0995-10",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"TCGA-G4-6626-01A-11D-1771-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"TCGA-A6-6649-01A-11D-1771-10",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"TCGA-A6-6137-01A-11D-1771-10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"TCGA-AA-3966-01A-01W-1073-09",0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"TCGA-AA-A01V-01A-23W-A096-10",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
"TCGA-CK-6748-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3516-01A-02W-0833-10",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"TCGA-D5-6932-01A-11D-1924-10",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"TCGA-A6-5665-01A-01D-1650-10",0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0
"TCGA-AA-3833-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CK-5916-01A-11D-1650-10",0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"TCGA-DM-A28E-01A-11D-A16V-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-G4-6309-01A-21D-1835-10",0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
"TCGA-AA-3554-01A-01W-0833-10",0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"TCGA-AA-3947-01A-01W-0995-10",0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0
"TCGA-A6-6653-01A-11D-1771-10",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1
"TCGA-AA-3555-01A-01W-0831-10",1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"TCGA-AA-3710-01A-01W-0995-10",0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
"TCGA-AU-6004-01A-11D-1719-10",0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1
"TCGA-AZ-6606-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-CM-5348-01A-21D-1719-10",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"TCGA-A6-2683-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-A6-5659-01A-01D-1650-10",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
"TCGA-AA-3655-01A-02D-1719-10",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"TCGA-AA-3712-01A-21D-1719-10",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"TCGA-AA-A01R-01A-21W-A096-10",1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"TCGA-AD-6895-01A-11D-1924-10",0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"TCGA-AZ-5403-01A-01D-1650-10",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"TCGA-CA-5254-01A-21D-1835-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TCGA-CA-5796-01A-01D-1650-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-D5-5541-01A-01D-1650-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-F4-6807-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3680-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3819-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3697-01A-01D-1719-10",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3870-01A-01W-0995-10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AZ-6600-01A-11D-1771-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CM-4744-01A-01D-1408-10",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TCGA-D5-6529-01A-11D-1771-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-D5-6926-01A-11D-1924-10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"TCGA-G4-6303-01A-11D-1771-10",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3688-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TCGA-G4-6315-01A-11D-1719-10",0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"TCGA-G4-6588-01A-11D-1771-10",0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
"TCGA-A6-5666-01A-01D-1650-10",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"TCGA-AA-3542-01A-02W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3660-01A-01D-1719-10",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3713-01A-21D-1719-10",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
"TCGA-AA-3844-01A-01W-0995-10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3852-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3854-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TCGA-AA-3855-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A00E-01A-01W-A005-10",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
